cbg,populationE,med_ageE,bachelor_degree_25E,med_hh_incomeE,whiteE,blackE,asianE,hispanicE,geometry
360610081004,1776,42.6,0.7342342342342343,170461.0,0.9183558558558559,0.0,0.03209459459459459,0.13231981981981983,"POLYGON ((-73.999684 40.738552, -73.999185 40.739242999999995, -73.998961 40.739148, -73.996337 40.738043999999995, -73.99683999999999 40.737361, -73.99922 40.738358, -73.999684 40.738552))"
360610091001,2293,39.0,0.603139991277802,159531.0,0.678587003924989,0.06716092455298735,0.2171827300479721,0.03009158307893589,"POLYGON ((-73.995645 40.744099, -73.995161 40.744763, -73.99503 40.744941, -73.994709 40.745383, -73.99426199999999 40.746004, -73.991419 40.744802, -73.991871 40.744186, -73.992063 40.743919, -73.992318 40.743567999999996, -73.99280499999999 40.742900999999996, -73.993292 40.742233, -73.996129 40.743431, -73.995645 40.744099))"
360610177003,994,31.4,0.6519114688128773,106632.0,0.8370221327967807,0.004024144869215292,0.05734406438631791,0.3148893360160966,"POLYGON ((-73.97269 40.79087, -73.972233 40.791498, -73.969391 40.790296, -73.96963099999999 40.789969, -73.96985 40.789674, -73.971462 40.790352999999996, -73.97204099999999 40.790597, -73.97218699999999 40.790385, -73.972177 40.790352, -73.972458 40.789955, -73.973147 40.790244, -73.97269 40.79087))"
360610177002,1245,53.0,0.357429718875502,72485.0,0.4971887550200803,0.13092369477911647,0.0,0.4072289156626506,"POLYGON ((-73.971316 40.792753, -73.96879299999999 40.791699, -73.969267 40.791070999999995, -73.971773 40.792127, -73.971316 40.792753))"
360610160013,522,58.6,0.7068965517241379,250001.0,0.8984674329501916,0.0,0.022988505747126436,0.10344827586206896,"POLYGON ((-73.957636 40.785343999999995, -73.957168 40.785983, -73.956718 40.786601, -73.955114 40.785925, -73.955569 40.785298, -73.956031 40.78467, -73.956487 40.784044, -73.958096 40.784718, -73.957636 40.785343999999995))"
360610160011,767,47.6,0.7301173402868318,201786.0,0.9178617992177314,0.014341590612777053,0.04954367666232073,0.03650586701434159,"POLYGON ((-73.954656 40.786552, -73.954163 40.787227, -73.952551 40.786549, -73.953045 40.785874, -73.953503 40.785247, -73.955114 40.785925, -73.954656 40.786552))"
360610160014,1110,49.4,0.7054054054054054,250001.0,0.8423423423423423,0.0,0.0990990990990991,0.1045045045045045,"POLYGON ((-73.956262 40.787223, -73.955778 40.787914, -73.954163 40.787227, -73.954656 40.786552, -73.955114 40.785925, -73.956718 40.786601, -73.956262 40.787223))"
360610162002,1664,40.8,0.3407451923076923,44575.0,0.2842548076923077,0.35096153846153844,0.2091346153846154,0.34375,"POLYGON ((-73.939132 40.790904999999995, -73.938649 40.791557999999995, -73.93662499999999 40.790701999999996, -73.93652399999999 40.790659, -73.936646 40.790506, -73.937026 40.789997, -73.93730699999999 40.789592999999996, -73.93738499999999 40.789460999999996, -73.937501 40.789505999999996, -73.939562 40.790316999999995, -73.939132 40.790904999999995))"
360610162004,2759,37.9,0.14244291409931134,19247.0,0.2044218919898514,0.6081913736861182,0.06487857919536064,0.49691917361362814,"POLYGON ((-73.941478 40.787692, -73.94138 40.787824, -73.941019 40.788319, -73.94055999999999 40.788948999999995, -73.939931 40.788685, -73.939275 40.78841, -73.938729 40.78818, -73.93818399999999 40.787951, -73.938084 40.787907, -73.938236 40.787599, -73.938383 40.787372, -73.938844 40.786831, -73.939205 40.786408, -73.93953499999999 40.786034, -73.939615 40.786077, -73.93992999999999 40.786215, -73.940153 40.786308999999996, -73.940321 40.786381, -73.941937 40.787065, -73.941478 40.787692))"
360610224001,2054,38.9,0.2882181110029211,58235.0,0.25657254138266794,0.5180136319376826,0.05258033106134372,0.23758519961051608,"POLYGON ((-73.94647499999999 40.811509, -73.94603099999999 40.812118999999996, -73.94317199999999 40.810942, -73.943398 40.810629999999996, -73.943625 40.810317999999995, -73.94408299999999 40.809692999999996, -73.946933 40.81088, -73.94647499999999 40.811509))"
360610232003,1996,33.4,0.10270541082164329,24284.0,0.13877755511022044,0.7740480961923848,0.0,0.2560120240480962,"POLYGON ((-73.942865 40.821542, -73.94241099999999 40.822164, -73.939566 40.820965, -73.940022 40.820342, -73.940477 40.819721, -73.943322 40.820917, -73.942865 40.821542))"
360610232002,2738,26.6,0.10189919649379109,40372.0,0.11723886048210373,0.7048940832724616,0.03031409788166545,0.38531775018261505,"POLYGON ((-73.940477 40.819721, -73.940022 40.820342, -73.939566 40.820965, -73.93672099999999 40.81977, -73.937181 40.819144, -73.937641 40.818517, -73.938029 40.818681, -73.94024999999999 40.819624, -73.940477 40.819721))"
360610232001,772,30.8,0.31088082901554404,44548.0,0.25,0.5893782383419689,0.09715025906735751,0.19430051813471502,"POLYGON ((-73.939077 40.821636999999996, -73.938586 40.82231, -73.935745 40.821106, -73.935864 40.820941999999995, -73.936227 40.820437999999996, -73.93672099999999 40.81977, -73.939566 40.820965, -73.939077 40.821636999999996))"
360610232004,3655,33.8,0.15020519835841314,34770.0,0.11545827633378933,0.5025991792065664,0.0,0.40902872777017785,"POLYGON ((-73.941917 40.822837, -73.94142599999999 40.823507, -73.938586 40.82231, -73.939077 40.821636999999996, -73.939566 40.820965, -73.94241099999999 40.822164, -73.941917 40.822837))"
360610140004,450,59.7,0.6933333333333334,223889.0,1.0,0.0,0.0,0.0,"POLYGON ((-73.96101399999999 40.774958, -73.960515 40.775642, -73.958895 40.77496, -73.959394 40.774277999999995, -73.959857 40.773643, -73.961475 40.774324, -73.96101399999999 40.774958))"
360610151002,2013,51.4,0.10233482364629906,18136.0,0.29210134128166915,0.37257824143070045,0.04868355688027819,0.6174863387978142,"POLYGON ((-73.98927599999999 40.773227, -73.98908399999999 40.773489999999995, -73.988626 40.774116, -73.987512 40.773637, -73.986443 40.773178, -73.985792 40.772904, -73.986238 40.772299, -73.986695 40.771668, -73.98953999999999 40.772866, -73.98927599999999 40.773227))"
360610225004,1214,28.3,0.051894563426688634,31356.0,0.016474464579901153,0.4028006589785832,0.0,0.5733113673805601,"POLYGON ((-73.950496 40.823119999999996, -73.949694 40.823603999999996, -73.949006 40.823315, -73.949465 40.82269, -73.949921 40.822072999999996, -73.9513 40.822649999999996, -73.950496 40.823119999999996))"
360610243013,862,30.9,0.1148491879350348,56944.0,0.2668213457076566,0.11716937354988399,0.05568445475638051,0.8294663573085846,"POLYGON ((-73.939994 40.837714, -73.939827 40.838498, -73.938548 40.837953999999996, -73.938343 40.837908999999996, -73.93884 40.837229, -73.9393 40.836607, -73.93933 40.836566999999995, -73.939375 40.836504999999995, -73.939888 40.835794, -73.93995 40.836078, -73.940102 40.836945, -73.939994 40.837714))"
